idea_id,design_id,stage,epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
baseline,baseline,,20,168.6747,165.0195,176.0958,406.3421,436.2065,454.9053
baseline,baseline,1,13,391.2423,197.3992,784.8027,439.6864,476.2680,964.6222
idea001,design001,,20,160.2113,148.1705,184.6578,395.5931,437.8894,447.2778
idea001,design001,1,13,378.7322,192.1495,757.5515,431.1587,475.1137,939.1668
idea001,design002,,20,168.2669,155.7790,193.6212,417.3934,461.6370,469.9111
idea001,design002,1,13,399.8475,190.6301,824.6224,434.0329,476.5285,996.3226
idea001,design003,,20,161.1030,147.3090,189.1089,480.4027,564.0925,530.5587
idea001,design003,1,12,391.9984,190.4893,801.1230,442.2052,485.0167,971.5704
idea002,design001,,20,165.7595,160.6642,176.1044,397.7604,442.4866,445.5967
idea002,design001,1,13,378.0355,197.2327,745.1201,433.4721,482.8796,927.1272
idea002,design002,,20,155.2138,140.9579,184.1575,402.1640,454.0434,458.3057
idea002,design002,1,13,389.5280,188.8051,797.0562,437.4892,494.2707,981.0417
idea002,design003,,20,154.8464,142.7230,179.4607,400.2205,449.1729,455.4781
idea002,design003,1,14,372.7234,186.5119,750.7892,432.6126,482.6139,925.0197
idea003,design001,,20,160.8678,150.2814,182.3615,411.0413,462.2473,463.6491
idea003,design001,1,14,366.7954,187.3057,731.2140,430.7283,483.4032,917.5831
idea003,design002,,20,164.4306,157.4775,178.5476,393.9570,429.2488,442.2157
idea003,design002,1,14,393.7830,192.4949,802.4589,435.0144,476.5769,970.6709
idea003,design003,,20,159.8161,149.6215,180.5143,457.1610,511.1094,505.9481
idea003,design003,1,14,370.8036,190.2028,737.4781,470.4004,530.5454,943.9311
idea004,design001,,20,167.2546,162.7541,176.3921,401.5536,441.7450,452.7331
idea004,design001,1,11,400.2207,196.4370,813.9635,433.1229,480.5703,984.3083
idea004,design002,,20,168.6046,162.4425,181.1156,400.6457,437.9378,452.7144
idea004,design002,1,11,385.9512,209.1709,744.8689,441.7021,480.5280,921.8317
idea004,design003,,20,169.4708,162.2018,184.2292,394.9608,436.5645,444.6883
idea004,design003,1,11,458.7040,209.0182,965.6419,433.9588,478.4795,1099.3476
idea005,design001,,20,170.1698,165.4290,179.7950,406.4237,436.0595,457.7168
idea005,design001,1,12,377.9521,199.0013,741.2763,442.0703,478.3734,922.8772
idea005,design002,,20,170.3732,166.2626,178.7190,407.1211,437.0502,456.0713
idea005,design002,1,13,388.7884,196.3793,779.4371,441.2436,478.0167,952.7377
idea005,design003,,20,164.6828,158.3712,177.4972,403.3243,435.2183,452.2589
idea005,design003,1,12,430.6520,192.9501,913.2590,438.1142,478.7214,1062.9722
idea006,design001,,20,170.3300,165.1068,180.9345,406.1699,436.1584,457.2166
idea006,design001,1,13,380.2900,196.8646,752.6991,440.3512,476.6506,937.4211
idea006,design002,,20,169.7807,165.1430,179.1967,406.2895,435.5953,457.6957
idea006,design002,1,13,390.5795,198.5612,780.4348,441.9445,477.2845,964.2248
idea006,design003,,20,171.9061,165.0545,185.8169,405.6051,435.8891,458.4570
idea006,design003,1,13,377.3556,196.9842,743.5642,439.9815,476.6079,921.5056
idea007,design001,,20,174.6799,166.7829,190.7133,406.8237,436.5912,462.0226
idea007,design001,1,12,391.6453,203.7500,773.1298,441.7616,476.3812,956.4657
idea007,design002,,20,170.7009,164.6052,183.0771,402.3804,432.1830,453.7253
idea007,design002,1,14,374.2164,197.0205,733.9778,437.6106,474.9625,923.0440
idea007,design003,,20,171.4879,165.1643,184.3266,406.2358,436.3316,457.4110
idea007,design003,1,13,373.7411,196.5575,733.4776,440.7916,477.6145,924.8714
idea008,design001,,20,166.5129,161.2405,177.2173,395.5445,431.1684,445.8245
idea008,design001,1,13,364.4429,195.0457,708.3706,426.4636,468.9738,883.6582
idea008,design002,,20,162.8481,153.8507,181.1157,268.4879,334.2811,333.7983
idea008,design002,1,14,377.4364,194.8355,748.1716,362.4454,461.9813,869.6603
idea008,design003,,20,157.8340,147.5398,178.7342,255.1251,314.6574,320.2824
idea008,design003,1,13,376.4795,195.0474,744.8416,347.9896,442.0760,857.0641
idea009,design001,,20,169.6549,165.3558,178.3835,406.2349,435.9858,455.7776
idea009,design001,1,13,376.1342,204.3075,724.9946,441.2323,475.5085,910.9636
idea009,design002,,20,171.6235,166.4122,182.2039,406.4655,435.8510,456.9788
idea009,design002,1,11,392.0263,205.2199,771.2999,443.2384,478.7158,946.0961
idea009,design003,,20,168.5802,165.7000,174.4278,406.2008,435.5283,452.4960
idea009,design003,1,11,392.7090,205.0451,773.7237,445.2320,479.9311,955.1723
idea010,design001,,15,165.6932,160.4394,176.3600,406.9618,437.9571,454.2219
idea010,design001,1,14,388.5842,193.7811,784.0935,441.9369,479.5237,968.8362
idea010,design002,,15,162.0364,157.5576,171.1298,405.7233,437.7258,450.2129
idea010,design002,1,13,417.1600,197.3244,863.4929,442.7914,479.8195,1031.5918
idea010,design003,,15,169.9190,166.3876,177.0889,406.3650,436.0880,452.7107
idea010,design003,1,13,380.7372,194.6815,758.4867,439.3702,476.7234,938.5971
idea011,design001,,14,169.5744,163.8355,181.2261,406.3355,441.3059,455.6976
idea011,design001,1,12,384.4084,196.6251,765.6655,434.6433,474.8369,941.2055
idea011,design002,,14,170.2880,161.7211,187.6815,406.2245,441.6488,457.4745
idea011,design002,1,12,381.6119,194.7166,761.0660,436.4131,476.0835,938.9330
idea011,design003,,15,151.9045,136.4859,183.2089,392.1377,439.4959,445.5556
idea011,design003,1,13,379.9205,194.9518,755.4630,432.7998,476.1159,925.0737
idea012,design001,,14,180.1417,176.0771,188.3941,409.2585,437.3050,459.3130
idea012,design001,1,14,383.3906,217.7202,719.7516,445.3476,479.0034,913.4603
idea012,design002,,14,177.7579,176.2445,180.8305,409.7991,437.9010,457.9696
idea012,design002,1,13,392.5306,215.9656,751.0112,444.4290,478.4366,940.4923
idea012,design003,,14,187.8678,185.1509,193.3839,413.4115,440.4145,465.4026
idea012,design003,1,13,402.9550,224.4967,765.2795,447.6528,480.9273,955.9664
idea013,design001,,2,209.5584,189.5528,250.1758,397.0845,422.9780,476.0668
idea013,design001,1,13,387.5159,202.7002,762.7478,429.5821,467.5919,939.9373
idea013,design002,,1,224.2198,204.8869,263.4715,401.1129,424.9046,481.6694
idea013,design002,1,13,385.9098,208.9632,745.1652,430.9112,467.4016,924.0389
idea013,design003,,1,226.2126,205.4705,268.3252,410.6623,433.1137,482.4728
idea014,design001,1,14,469.0649,210.9901,993.0350,430.2560,478.4197,1138.1427
idea014,design002,1,13,399.1380,213.6124,775.8113,430.6282,477.5308,941.9518
idea014,design003,1,14,457.7720,211.5139,957.7508,433.1623,477.1261,1108.7050
