idea_id,design_id,stage,epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
baseline,baseline,1,5,455.1852,220.7410,931.1781,443.7414,472.9810,1070.3852
baseline,baseline,1,10,367.0104,206.2389,693.4254,441.6812,474.6997,864.5179
baseline,baseline,1,15,358.5953,196.8897,686.9068,439.5682,475.5200,856.3354
baseline,baseline,1,20,346.5824,195.7158,652.8874,438.6551,474.9553,833.7476
idea001,design001,1,5,417.7147,213.4586,832.4165,436.1723,473.6350,977.1963
idea001,design001,1,10,368.2045,194.2815,721.3209,432.3875,476.3915,881.0663
idea001,design001,1,15,347.8841,191.3790,665.6368,433.8446,478.6453,839.1548
idea001,design001,1,20,338.7810,190.0273,640.7959,433.9417,479.0442,823.6641
idea001,design002,1,5,498.5736,214.9146,1074.4875,443.3164,478.7795,1206.4190
idea001,design002,1,10,430.8059,192.9042,913.8185,435.4466,478.1847,1049.4637
idea001,design002,1,15,400.5922,186.8885,834.4756,438.7620,483.5830,984.5591
idea001,design002,1,20,393.7632,185.5738,816.4508,439.1283,483.9059,972.4616
idea001,design003,1,5,641.1137,228.7727,1478.2910,443.1064,473.4373,1591.7152
idea001,design003,1,10,449.6736,191.2816,974.2878,443.5301,484.0377,1112.7720
idea001,design003,1,15,419.2510,185.9657,892.8907,441.3434,482.7398,1041.2252
idea001,design003,1,20,408.4726,184.9053,862.3821,441.6582,483.6279,1017.6632
idea002,design001,1,5,411.1744,218.7472,801.8600,437.4697,478.4140,958.7858
idea002,design001,1,10,368.8174,204.9955,701.4256,433.8353,479.0124,880.2959
idea002,design001,1,15,364.3305,195.3989,707.3127,432.8679,481.8481,870.6328
idea002,design001,1,20,351.0745,193.6393,670.7157,432.3982,482.2266,847.4633
idea002,design002,1,5,487.5251,207.8878,1055.2736,442.2090,485.7767,1180.0783
idea002,design002,1,10,385.7728,190.3854,782.4684,438.0034,491.8063,947.0695
idea002,design002,1,15,364.8052,185.7603,728.3205,437.7398,494.1006,897.2604
idea002,design002,1,20,350.7081,185.1037,686.9354,438.1585,495.3963,867.1086
idea002,design003,1,5,436.8073,200.6294,916.3200,437.9132,482.5970,1052.7390
idea002,design003,1,10,348.1708,184.9837,679.4899,431.6020,482.4758,846.6680
idea002,design003,1,15,348.1800,182.6230,684.3107,432.6372,484.8460,847.6309
idea002,design003,1,20,339.7363,183.1560,657.6417,433.1531,485.6789,832.1533
idea003,design001,1,5,470.9375,197.2231,1026.6607,431.2225,475.9096,1154.0394
idea003,design001,1,10,389.4904,193.0965,788.2294,429.7418,477.2613,947.1877
idea003,design001,1,15,374.9298,189.8792,750.6386,428.7218,477.6994,916.4920
idea003,design001,1,20,365.3770,189.0484,723.3775,429.0543,478.4812,894.7118
idea003,design002,1,5,434.7519,207.7539,895.6267,436.6847,476.8463,1031.9602
idea003,design002,1,10,356.8768,192.2038,691.2131,429.5050,473.0134,858.1552
idea003,design002,1,15,359.4822,191.1482,701.2513,430.0965,474.8960,864.6006
idea003,design002,1,20,345.3484,190.8565,659.0136,429.6080,474.6561,832.6877
idea003,design003,1,5,489.0139,216.3275,1042.6498,518.3626,589.1635,1217.6502
idea003,design003,1,10,393.1303,193.5928,798.2518,480.7436,542.6257,988.5411
idea003,design003,1,15,376.5819,189.6055,756.2007,479.7107,544.4764,956.8115
idea003,design003,1,20,363.9250,187.6305,721.8563,479.3901,544.9333,930.6927
idea004,design001,1,5,411.7315,216.7532,807.5966,439.8796,480.3089,961.3724
idea004,design001,1,10,358.5514,201.1946,678.0333,435.8333,480.8717,855.8651
idea004,design001,1,15,340.2238,196.8059,631.4056,432.9517,479.8335,813.6425
idea004,design001,1,20,336.5699,195.9466,622.0780,432.4716,479.6146,808.8201
idea004,design002,1,5,469.6355,219.1438,978.2096,441.4517,476.3180,1114.7897
