idea_id,design_id,stage,epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
idea003,design002,3,10,123.3445,134.9751,99.7309,433.2892,500.8010,461.6966
idea001,design001,3,10,130.3321,147.7541,94.9601,425.0123,486.1470,443.9119
idea011,design001,3,10,135.8936,155.5342,96.0171,446.8867,499.0587,468.3046
idea031,design002,3,5,152.0051,164.9901,125.6418,418.5501,488.5869,446.8502
idea010,design002,3,10,166.4155,129.6998,240.9594,416.6424,470.0689,487.1204
idea013,design003,3,10,170.7160,140.1159,232.8435,415.0566,476.6593,471.5649
idea008,design002,3,10,176.2888,157.0041,215.4424,271.2294,344.1671,351.7542
baseline,baseline,3,10,185.6275,155.2181,247.3848,428.1250,483.4968,492.7357
idea004,design001,3,10,186.2973,160.1909,239.3011,420.0418,485.4253,480.9053
idea005,design003,3,10,196.4939,160.7357,269.0939,428.1673,481.8315,504.5825
idea007,design002,3,10,199.5131,162.7050,274.2448,430.8079,479.2933,508.1933
