iter,epoch,loss_joints_train,loss_depth_train,loss_uv_train
1,1,0.202151,1.837799,0.182025
2,1,0.225282,1.897375,0.057564
3,1,0.212453,2.332294,0.165092
4,1,0.217670,1.464327,0.135597
5,1,0.220796,2.087033,0.117114
6,1,0.224770,2.104556,0.100266
7,1,0.227383,2.082938,0.056759
8,1,0.210104,1.819551,0.128124
9,1,0.206223,1.833874,0.217905
10,1,0.208053,2.244116,0.096243
11,1,0.206302,1.934470,0.116417
12,1,0.197706,1.663005,0.138178
13,1,0.205414,2.025286,0.155159
14,1,0.196761,1.831903,0.155261
15,1,0.209611,2.372598,0.091854
16,1,0.213682,2.438916,0.111064
17,1,0.189099,1.547772,0.060244
18,1,0.191776,1.752550,0.147285
19,1,0.182162,1.789455,0.158684
20,1,0.203922,1.774441,0.185797
21,1,0.195033,1.456518,0.113784
22,1,0.194516,2.062809,0.213162
23,1,0.203226,2.008033,0.161027
24,1,0.186395,1.746125,0.123985
25,1,0.197960,1.686323,0.244519
26,1,0.181552,1.547465,0.109295
27,1,0.187646,2.035888,0.131103
28,1,0.197936,1.589367,0.225700
29,1,0.182401,1.683483,0.101015
30,1,0.200340,1.969027,0.032439
31,1,0.195317,1.728059,0.096997
32,1,0.188995,1.892158,0.197885
33,1,0.192648,1.421727,0.070581
34,1,0.184017,1.711009,0.098637
35,1,0.198142,1.480101,0.126559
36,1,0.194569,1.920765,0.121691
37,1,0.186923,1.330418,0.067097
38,1,0.207880,1.602476,0.159392
39,1,0.208961,1.497604,0.111626
40,1,0.181719,1.713697,0.075390
41,1,0.205233,1.537753,0.311560
42,1,0.182551,1.880672,0.120142
43,1,0.187672,1.371153,0.213156
44,1,0.193147,1.370847,0.145650
45,1,0.197635,1.343580,0.111592
46,1,0.192491,1.477176,0.189266
47,1,0.175061,1.434388,0.149597
48,1,0.180609,1.544909,0.111967
49,1,0.171561,1.339888,0.165521
50,1,0.191147,1.416647,0.037691
51,1,0.177348,1.285466,0.179355
52,1,0.170714,1.239920,0.084766
53,1,0.200796,1.156150,0.126117
54,1,0.182658,1.377429,0.063645
55,1,0.195727,1.251844,0.101389
56,1,0.169712,1.302144,0.213448
57,1,0.184009,1.163387,0.116554
58,1,0.184918,1.477493,0.189065
59,1,0.177106,1.585955,0.172205
60,1,0.173958,1.047754,0.073353
61,1,0.184392,1.188657,0.158398
62,1,0.173929,1.563113,0.120601
63,1,0.182689,1.455802,0.152527
64,1,0.169947,1.113238,0.095436
65,1,0.186629,1.447922,0.088138
66,1,0.182570,1.174908,0.051839
67,1,0.176946,1.283777,0.068310
68,1,0.175773,1.138286,0.080239
69,1,0.180023,1.112059,0.140292
70,1,0.181743,1.311233,0.200826
71,1,0.183806,1.180234,0.217135
72,1,0.180191,1.191133,0.078837
73,1,0.198176,0.911417,0.187972
74,1,0.188356,1.058739,0.107534
75,1,0.173614,0.963442,0.279494
76,1,0.186612,0.856526,0.056484
77,1,0.194102,1.008812,0.142168
78,1,0.211894,1.092891,0.156457
79,1,0.177923,0.863743,0.117430
80,1,0.177051,1.179587,0.082357
81,1,0.179536,0.964878,0.097360
82,1,0.191519,1.373122,0.073911
83,1,0.173019,0.811258,0.274944
84,1,0.175771,1.004756,0.175010
85,1,0.186363,0.863460,0.059953
86,1,0.181653,1.078703,0.108623
87,1,0.186134,0.907248,0.051430
88,1,0.174108,0.894994,0.117981
89,1,0.191789,0.661786,0.104669
90,1,0.188024,1.044831,0.133391
91,1,0.188942,0.758427,0.076537
92,1,0.190284,0.766214,0.140045
93,1,0.190915,0.644375,0.082752
94,1,0.182483,0.797687,0.175008
95,1,0.188219,1.112256,0.077847
96,1,0.190097,0.995508,0.143781
97,1,0.184264,0.586702,0.152715
98,1,0.185271,0.833757,0.094873
99,1,0.174982,0.654557,0.177766
100,1,0.188943,0.408924,0.192960
101,1,0.188854,0.737735,0.087652
102,1,0.180784,0.848128,0.043797
103,1,0.215494,1.102980,0.050430
104,1,0.182514,0.862363,0.080221
105,1,0.185313,0.743618,0.054445
106,1,0.174195,0.479216,0.154752
107,1,0.190394,0.737597,0.086951
108,1,0.189250,0.829797,0.079280
109,1,0.195464,0.660429,0.108797
110,1,0.186763,0.843888,0.129114
111,1,0.180530,0.676338,0.074386
112,1,0.182606,0.753003,0.098013
113,1,0.208582,0.765419,0.061120
114,1,0.187862,0.700516,0.076712
115,1,0.200521,0.538118,0.095856
116,1,0.189981,0.722771,0.138038
117,1,0.197074,0.325701,0.120422
118,1,0.192012,0.515442,0.198701
119,1,0.193009,0.742559,0.185300
120,1,0.180322,0.555517,0.108598
121,1,0.182158,0.651277,0.183763
122,1,0.177278,0.808854,0.115174
123,1,0.190833,0.857947,0.067300
124,1,0.190839,0.545295,0.137371
125,1,0.191000,0.629573,0.123302
126,1,0.193217,0.820797,0.112615
127,1,0.184310,0.919919,0.151989
128,1,0.176771,0.504970,0.098466
129,1,0.177204,0.382394,0.152722
130,1,0.175841,0.518456,0.132520
131,1,0.171587,0.471670,0.033353
132,1,0.203457,0.448780,0.143329
133,1,0.182093,0.503961,0.145470
134,1,0.184212,0.519153,0.104758
135,1,0.192114,0.573240,0.126100
136,1,0.190843,0.689380,0.098565
137,1,0.201705,0.682614,0.122430
138,1,0.192835,0.366074,0.074524
139,1,0.178576,0.328710,0.080279
140,1,0.168148,0.236159,0.106788
141,1,0.174687,0.562108,0.116258
142,1,0.175429,0.466457,0.198275
143,1,0.176823,0.223254,0.075672
144,1,0.203283,0.484552,0.285602
145,1,0.198751,0.437312,0.107202
146,1,0.193498,0.275977,0.097933
147,1,0.189888,0.246732,0.072659
148,1,0.168790,0.504441,0.134208
149,1,0.197160,0.409278,0.038648
150,1,0.184538,0.297245,0.136456
151,1,0.181292,0.285023,0.172804
152,1,0.181019,0.347918,0.131545
153,1,0.176118,0.237429,0.076655
154,1,0.197387,0.127284,0.115122
155,1,0.178362,0.205594,0.036911
156,1,0.173072,0.307119,0.181947
157,1,0.180161,0.308880,0.134148
158,1,0.183787,0.243622,0.172584
159,1,0.180634,0.458872,0.241033
160,1,0.185454,0.407310,0.086878
161,1,0.184033,0.368637,0.123109
162,1,0.186176,0.194278,0.099497
163,1,0.189449,0.451738,0.115154
164,1,0.197541,0.171686,0.089196
165,1,0.182597,0.244267,0.088329
166,1,0.187132,0.456134,0.109459
167,1,0.198428,0.374840,0.174369
