epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,217.6192,193.8928,265.7910,417.3574,441.7043,490.8396
2,204.6797,189.9228,234.6408,415.5920,439.7658,474.0024
3,192.9551,185.2922,208.5133,413.9525,439.4681,465.6191
4,190.6743,182.6732,206.9189,411.8921,437.2983,477.8314
5,178.0074,176.9673,180.1190,411.3719,438.4707,461.0362
6,178.6591,174.2173,187.6773,410.7313,438.7081,458.4232
7,176.3424,173.0231,183.0815,407.7989,435.4995,462.3325
8,177.8316,171.3051,191.0823,408.6781,437.1574,459.5254
9,173.0183,170.0553,179.0340,409.0654,437.9922,459.5822
10,170.5370,168.4180,174.8391,406.7751,436.1157,450.7650
11,176.3981,168.4067,192.6232,408.4599,437.8301,461.7136
12,169.9854,167.0597,175.9254,406.8914,436.4568,456.3987
13,169.7468,166.6881,175.9568,407.0228,436.6029,452.4152
14,171.1230,166.3873,180.7380,406.2314,435.6482,454.8791
15,169.0787,166.1896,174.9446,406.6654,436.1483,453.1225
16,169.0684,165.4307,176.4541,406.1807,435.8477,454.8674
17,168.4544,165.2967,174.8654,406.6010,436.4172,456.3653
18,168.7121,165.1966,175.8498,406.2426,436.0386,455.8128
19,168.6792,165.0247,176.0988,406.2702,436.1180,455.1754
20,168.6747,165.0195,176.0958,406.3421,436.2065,454.9053
