iter,epoch,loss_joints_train,loss_depth_train,loss_uv_train
1,1,0.227612,9.677725,0.138931
2,1,0.223943,4.201061,0.181685
3,1,0.208807,8.016836,0.132971
4,1,0.218974,7.896725,0.170816
5,1,0.218725,5.057409,0.116624
6,1,0.208514,4.840793,0.147419
7,1,0.228094,8.756521,0.143706
8,1,0.217445,4.766072,0.122623
9,1,0.220084,7.263929,0.168777
10,1,0.208479,7.392004,0.252330
11,1,0.203867,6.960835,0.080862
12,1,0.195745,3.940265,0.068358
13,1,0.213269,7.983432,0.175301
14,1,0.195703,6.780846,0.166277
15,1,0.206301,6.193308,0.263287
16,1,0.228697,5.106400,0.116280
17,1,0.208324,8.674992,0.140303
18,1,0.205575,4.109541,0.110171
19,1,0.188580,6.096693,0.114649
20,1,0.192597,5.083190,0.269567
21,1,0.208668,9.272682,0.232234
22,1,0.194822,3.188772,0.135867
23,1,0.197682,3.514381,0.203081
24,1,0.200151,3.945231,0.131313
25,1,0.198988,7.628401,0.137652
26,1,0.185212,8.654329,0.129527
27,1,0.196483,6.031211,0.122130
28,1,0.184543,4.225004,0.255388
29,1,0.189394,9.763284,0.168442
30,1,0.192851,3.318162,0.083896
31,1,0.190376,10.582218,0.269564
32,1,0.205896,2.606472,0.094009
33,1,0.189037,11.105440,0.151584
34,1,0.187284,6.310102,0.130524
35,1,0.194926,6.733275,0.216242
36,1,0.196533,5.964659,0.118865
37,1,0.192994,6.496244,0.328704
38,1,0.202542,3.579057,0.188585
39,1,0.206266,4.634955,0.144623
40,1,0.190640,9.717850,0.199698
41,1,0.175459,9.704976,0.080051
42,1,0.187908,7.754135,0.162048
43,1,0.185204,7.913832,0.166529
44,1,0.187938,6.261167,0.175050
45,1,0.198543,2.572801,0.230801
46,1,0.181695,3.983184,0.247837
47,1,0.188181,4.170984,0.356782
48,1,0.188597,5.018641,0.152366
49,1,0.205493,6.838907,0.099101
50,1,0.192545,6.559693,0.191662
51,1,0.189451,4.801470,0.144604
52,1,0.183293,5.859289,0.195055
53,1,0.185367,6.706891,0.140605
54,1,0.192204,3.501756,0.178642
55,1,0.182474,3.003432,0.178789
56,1,0.184134,4.847809,0.158011
57,1,0.189294,7.929379,0.179147
58,1,0.168649,2.985022,0.161213
59,1,0.183768,6.798839,0.131576
60,1,0.174126,3.540653,0.166552
61,1,0.184638,4.184467,0.132747
62,1,0.175539,2.482941,0.250536
63,1,0.186989,3.620625,0.064442
64,1,0.192509,1.409211,0.197003
65,1,0.188729,6.304690,0.214353
66,1,0.198680,8.075682,0.195371
67,1,0.189952,4.775044,0.191322
68,1,0.172260,3.344296,0.101902
69,1,0.210074,5.366062,0.140230
70,1,0.198128,4.547697,0.149469
71,1,0.175809,3.492909,0.106006
72,1,0.171082,6.639693,0.202616
73,1,0.183297,7.557222,0.222778
74,1,0.187339,2.859273,0.235991
75,1,0.190734,2.561799,0.127449
76,1,0.197314,5.280394,0.116324
77,1,0.184915,7.255999,0.136058
78,1,0.182335,2.589968,0.210290
79,1,0.191736,8.961124,0.100987
80,1,0.187171,6.320015,0.162908
81,1,0.187248,6.356853,0.078420
82,1,0.175859,3.719943,0.118150
83,1,0.182827,4.190918,0.143525
84,1,0.186323,3.730497,0.266580
85,1,0.177049,11.773099,0.266039
86,1,0.186914,4.322594,0.161431
87,1,0.178721,6.974346,0.136887
88,1,0.171178,6.803612,0.100701
89,1,0.171679,5.807636,0.083606
90,1,0.170471,6.170304,0.135030
91,1,0.210028,3.942991,0.100687
92,1,0.183270,4.409699,0.124597
93,1,0.196492,3.860623,0.070727
94,1,0.187127,5.814649,0.227777
95,1,0.186325,3.223854,0.071661
96,1,0.182749,5.194887,0.147779
97,1,0.195778,6.025159,0.077557
98,1,0.181444,2.320869,0.196237
99,1,0.173789,4.250009,0.195572
100,1,0.213085,4.480175,0.099865
101,1,0.199445,7.230293,0.087804
102,1,0.183297,4.489335,0.162385
103,1,0.179097,4.547627,0.039370
104,1,0.183102,3.744501,0.141836
105,1,0.184799,5.468673,0.221684
106,1,0.204561,1.671643,0.106370
