epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,650.7839,226.6443,1511.9159,452.4737,483.9988,1621.0357
2,556.9191,216.8090,1247.4455,445.3873,478.5631,1364.4675
3,490.0752,214.2970,1049.9884,443.1086,476.0396,1180.9955
4,436.3659,214.2955,887.2360,444.6231,477.3976,1046.5161
5,452.1832,214.6132,934.5223,443.6679,477.0943,1082.6782
6,437.9944,212.3843,896.0512,442.9945,475.4296,1047.0760
7,421.1340,211.2809,847.1992,442.4488,474.9339,1007.9138
8,409.5411,209.3023,816.0866,443.6329,476.4927,983.6937
9,410.3068,207.0861,822.9066,442.4694,476.5319,999.9502
10,389.6424,203.2755,768.0239,440.9068,475.4496,947.6466
11,386.1974,200.1026,764.0262,441.4400,477.4331,942.5507
12,375.2897,197.1811,736.9039,440.2081,476.8309,919.5611
13,391.2423,197.3992,784.8027,439.6864,476.2680,964.6222
