epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,221.0343,201.5879,260.5164,421.5411,448.7329,495.7957
2,213.4573,189.2960,262.5121,409.8735,440.5170,490.1879
3,214.5853,188.8307,266.8750,411.2208,440.2538,498.4466
4,189.5476,185.4092,197.9499,407.9130,437.2073,465.9819
5,194.0660,179.9114,222.8041,407.5355,438.4782,483.2077
6,190.2305,175.1412,220.8663,404.4141,436.4593,471.1005
7,173.8248,171.1604,179.2342,403.2020,437.0347,455.9261
8,183.3356,169.3295,211.7721,402.7802,436.8712,468.9571
9,174.5153,167.5925,188.5707,403.6687,439.2376,460.2208
10,171.0552,165.5497,182.2332,402.3218,438.3551,452.6265
11,171.9028,164.8226,186.2779,401.1694,437.1740,455.5911
12,171.0585,164.0794,185.2283,401.4610,437.9216,453.2611
13,168.9710,163.7812,179.5078,400.1437,436.8388,450.6445
14,169.1762,163.2628,181.1821,400.7261,437.6105,453.7209
15,168.1329,163.5235,177.4915,400.8736,437.5955,450.7020
16,168.6111,162.8434,180.3213,400.2029,437.2435,452.1552
17,168.8955,162.5010,181.8783,400.5315,437.8189,453.3830
18,168.7107,162.5326,181.2542,400.7567,438.0071,452.7594
19,168.6337,162.4223,181.2447,400.5975,437.9037,453.0784
20,168.6046,162.4425,181.1156,400.6457,437.9378,452.7144
