iter,epoch,loss_joints_train,loss_depth_train,loss_uv_train
1,1,0.192349,9.502840,0.179803
2,1,0.194519,3.976685,0.160651
3,1,0.191416,7.829351,0.142641
4,1,0.195523,7.712232,0.100356
5,1,0.189400,4.953162,0.168222
6,1,0.177800,4.701688,0.114241
7,1,0.209126,8.574591,0.111094
8,1,0.192243,4.628285,0.066701
9,1,0.177787,7.045603,0.146769
10,1,0.185561,7.151449,0.212407
11,1,0.182737,6.795643,0.120643
12,1,0.185128,3.700660,0.102128
13,1,0.193725,7.751117,0.176061
14,1,0.177533,6.541496,0.144309
15,1,0.188556,6.008616,0.256770
16,1,0.186430,4.877873,0.145266
17,1,0.201507,8.487669,0.151250
18,1,0.190639,3.836321,0.102121
19,1,0.176282,5.908821,0.061629
20,1,0.200742,4.863902,0.243002
21,1,0.207002,9.072769,0.216845
22,1,0.192293,2.912556,0.148070
23,1,0.195243,3.364492,0.165437
24,1,0.181427,3.725514,0.153020
25,1,0.183153,7.401022,0.135440
26,1,0.183769,8.420275,0.180803
27,1,0.180366,5.800422,0.115853
28,1,0.184592,3.995908,0.256149
29,1,0.180413,9.605508,0.149726
30,1,0.188504,3.060562,0.059237
31,1,0.195573,10.390736,0.267352
32,1,0.202495,2.424945,0.109217
33,1,0.199545,10.842012,0.175244
34,1,0.178167,6.167676,0.139607
35,1,0.190029,6.502929,0.200166
36,1,0.190680,5.754820,0.103510
37,1,0.187711,6.334470,0.335690
38,1,0.196790,3.349809,0.183116
39,1,0.193072,4.473578,0.162015
40,1,0.193381,9.489487,0.207653
41,1,0.179997,9.483968,0.104573
42,1,0.186695,7.561264,0.160751
43,1,0.176304,7.702467,0.181472
44,1,0.184806,6.023283,0.176129
45,1,0.201425,2.401933,0.263047
46,1,0.181219,3.780731,0.226042
47,1,0.188250,3.947260,0.324790
48,1,0.191341,4.821467,0.179352
49,1,0.210168,6.608194,0.149258
50,1,0.191437,6.372254,0.146177
51,1,0.184180,4.569536,0.141216
52,1,0.177028,5.712744,0.147991
53,1,0.183342,6.457989,0.140713
54,1,0.189218,3.316453,0.186254
55,1,0.176471,2.832594,0.166842
56,1,0.181022,4.642121,0.182544
57,1,0.178360,7.698483,0.197860
58,1,0.170409,2.685156,0.142195
59,1,0.180223,6.569774,0.131391
60,1,0.176275,3.365909,0.157722
61,1,0.182810,3.919086,0.145875
62,1,0.175904,2.186005,0.273065
63,1,0.190037,3.435261,0.103915
64,1,0.197708,1.107453,0.165701
65,1,0.187277,6.143435,0.195493
66,1,0.201413,7.831296,0.164121
67,1,0.187035,4.590840,0.160158
68,1,0.173959,3.147031,0.118311
69,1,0.211501,5.165257,0.117098
70,1,0.197887,4.349088,0.138879
71,1,0.173152,3.308217,0.122148
72,1,0.172052,6.446212,0.194824
73,1,0.180846,7.369600,0.223269
74,1,0.181106,2.686056,0.186100
75,1,0.188339,2.331330,0.152740
76,1,0.198604,5.080321,0.105836
77,1,0.177740,7.063982,0.145343
78,1,0.176142,2.295779,0.229616
79,1,0.198205,8.735172,0.130347
80,1,0.183964,6.184517,0.155689
81,1,0.190884,6.146893,0.077364
82,1,0.177533,3.471896,0.130480
83,1,0.182211,3.957398,0.135564
84,1,0.184060,3.493680,0.236836
85,1,0.174092,11.594754,0.270311
86,1,0.196387,4.146812,0.181046
87,1,0.177253,6.787579,0.161875
88,1,0.175158,6.636620,0.151660
89,1,0.165086,5.624897,0.127028
90,1,0.168817,5.986222,0.090708
91,1,0.213798,3.754026,0.059029
