epoch,composite_val,mpjpe_body_val,mpjpe_pelvis_val,mpjpe_rel_val,mpjpe_hand_val,mpjpe_abs_val
1,621.7318,226.8759,1423.4088,452.4634,484.1245,1543.1596
2,600.9379,217.1829,1380.0767,444.5262,477.6337,1489.0662
3,453.5510,214.6031,938.6877,443.2620,475.9506,1091.1068
4,432.9601,214.5361,876.4270,443.7864,476.2598,1039.5131
5,428.2337,214.8859,861.3943,442.4340,475.4514,1026.0056
6,413.9532,215.5578,816.7560,447.1216,478.7200,983.5489
7,407.0645,211.0052,805.1242,441.6801,473.6573,977.2010
8,402.4897,208.5317,796.2834,444.0016,476.8876,966.0485
9,384.4666,204.9833,748.8720,441.4339,475.7458,929.8342
10,388.6476,200.4484,770.7491,442.3176,477.5054,947.1286
11,378.6273,198.5237,744.2923,440.7769,476.5509,927.3704
12,376.5057,196.5513,741.8676,440.7067,477.3551,928.3352
13,380.2900,196.8646,752.6991,440.3512,476.6506,937.4211
