iter,epoch,loss_joints_train,loss_depth_train,loss_uv_train
1,1,0.202151,1.837799,0.182025
2,1,0.225282,1.897375,0.057564
3,1,0.212453,2.332294,0.165092
4,1,0.217670,1.464327,0.135597
5,1,0.220796,2.087033,0.117114
6,1,0.224770,2.104556,0.100266
7,1,0.227383,2.082938,0.056759
8,1,0.210104,1.819551,0.128124
9,1,0.195487,1.903699,0.215377
10,1,0.196890,2.315608,0.098370
11,1,0.193621,2.006733,0.114737
12,1,0.188603,1.733646,0.147362
13,1,0.197284,2.098332,0.154533
14,1,0.187817,1.903472,0.166558
15,1,0.198554,2.445928,0.094163
16,1,0.203702,2.510897,0.099788
17,1,0.173669,1.702044,0.073535
18,1,0.171842,1.906821,0.157999
19,1,0.170081,1.941438,0.168438
20,1,0.191867,1.927997,0.201637
21,1,0.184679,1.608382,0.125029
22,1,0.191844,2.211748,0.224690
23,1,0.202108,2.165255,0.176247
24,1,0.176676,1.895743,0.142153
25,1,0.198395,1.886994,0.256135
26,1,0.175180,1.743011,0.116120
27,1,0.187019,2.237664,0.145582
28,1,0.200468,1.787135,0.209140
29,1,0.173645,1.883240,0.093714
30,1,0.187045,2.170940,0.035862
31,1,0.186651,1.933301,0.100357
32,1,0.189600,2.094917,0.217754
33,1,0.200459,1.663603,0.065824
34,1,0.189977,1.956338,0.104229
35,1,0.196791,1.715230,0.116069
36,1,0.198068,2.159768,0.133550
37,1,0.193764,1.580430,0.062743
38,1,0.211919,1.852005,0.159600
39,1,0.205966,1.742485,0.129088
40,1,0.189954,1.944126,0.100167
41,1,0.220327,1.822370,0.331672
42,1,0.197226,2.170295,0.169282
43,1,0.204680,1.655792,0.200913
44,1,0.204164,1.648894,0.163283
45,1,0.206724,1.615443,0.133339
46,1,0.202881,1.759330,0.182664
47,1,0.194007,1.710715,0.175970
48,1,0.194581,1.819602,0.151403
49,1,0.197359,1.669193,0.172484
50,1,0.209148,1.742729,0.045954
51,1,0.201647,1.614009,0.188376
52,1,0.190388,1.557483,0.071321
53,1,0.222537,1.480008,0.147641
54,1,0.208685,1.688653,0.069615
55,1,0.212420,1.588440,0.133421
56,1,0.192797,1.612585,0.229428
57,1,0.205722,1.523010,0.148744
58,1,0.214558,1.830654,0.247146
59,1,0.202350,1.943617,0.181183
60,1,0.198542,1.398932,0.106986
61,1,0.210021,1.541120,0.148841
62,1,0.197383,1.923783,0.156083
63,1,0.205898,1.796068,0.125979
64,1,0.201101,1.468051,0.124444
65,1,0.227271,1.821362,0.118465
66,1,0.209510,1.552090,0.074083
67,1,0.207252,1.652906,0.043845
68,1,0.212323,1.537423,0.133604
69,1,0.223867,1.481982,0.133971
70,1,0.215123,1.691321,0.244364
71,1,0.221780,1.552029,0.230167
72,1,0.217800,1.573571,0.096667
73,1,0.235801,1.309966,0.220650
74,1,0.234070,1.455683,0.137993
75,1,0.221701,1.358977,0.309448
76,1,0.228467,1.261265,0.107066
77,1,0.228509,1.426990,0.109884
78,1,0.251092,1.502506,0.156840
79,1,0.223359,1.267319,0.129906
80,1,0.224891,1.581786,0.111243
81,1,0.222461,1.399141,0.145611
82,1,0.227509,1.788697,0.070404
83,1,0.226275,1.254301,0.266096
84,1,0.228531,1.425703,0.212913
85,1,0.233751,1.293547,0.091891
86,1,0.228039,1.499621,0.150366
87,1,0.239505,1.328882,0.084015
88,1,0.229686,1.330727,0.106549
89,1,0.240029,1.092599,0.124871
90,1,0.230626,1.488338,0.128252
91,1,0.252343,1.206973,0.099340
92,1,0.243710,1.224718,0.078445
93,1,0.250066,1.090795,0.095917
94,1,0.253757,1.230225,0.191459
95,1,0.240972,1.556743,0.115783
96,1,0.246127,1.441805,0.157907
97,1,0.255220,1.053527,0.179003
98,1,0.241013,1.301997,0.130378
99,1,0.239656,1.115802,0.226522
100,1,0.247131,0.871025,0.215794
101,1,0.250706,1.199916,0.092983
102,1,0.239268,1.305320,0.074524
103,1,0.264316,1.555771,0.051892
104,1,0.244754,1.307181,0.117352
105,1,0.248922,1.212206,0.065436
106,1,0.230129,0.940750,0.182696
107,1,0.256651,1.218458,0.060387
108,1,0.230780,1.300239,0.124763
109,1,0.251995,1.121408,0.117756
110,1,0.232468,1.312483,0.138891
111,1,0.230967,1.155005,0.091990
112,1,0.251115,1.238540,0.133459
113,1,0.272355,1.264376,0.088578
114,1,0.255899,1.166067,0.072953
115,1,0.268350,1.015435,0.097697
116,1,0.254312,1.221830,0.182934
117,1,0.251295,0.740554,0.125642
118,1,0.253385,0.994627,0.219810
119,1,0.248850,1.221929,0.173350
120,1,0.251411,1.040500,0.115780
121,1,0.241299,0.974232,0.180322
122,1,0.241187,1.179092,0.121809
123,1,0.247085,1.343945,0.088478
124,1,0.241733,1.041601,0.158990
125,1,0.255408,1.113368,0.112801
126,1,0.254895,1.303911,0.130287
127,1,0.255100,1.416407,0.161424
128,1,0.234427,1.007183,0.090946
129,1,0.243366,0.746230,0.171276
130,1,0.236714,1.025222,0.130666
131,1,0.233335,0.959039,0.043764
132,1,0.271855,0.815284,0.157302
133,1,0.255435,0.931028,0.138511
134,1,0.242609,1.001066,0.101101
135,1,0.262537,1.079631,0.133158
136,1,0.239495,1.183475,0.111304
137,1,0.253796,1.059380,0.125864
138,1,0.254617,0.799070,0.070316
139,1,0.244851,0.835892,0.089707
140,1,0.237684,0.730286,0.108238
141,1,0.236152,1.054329,0.096963
142,1,0.239553,0.615804,0.205531
143,1,0.245215,0.523659,0.076530
144,1,0.256878,1.006207,0.301128
145,1,0.252748,0.852161,0.114594
146,1,0.237062,0.528624,0.103016
147,1,0.246861,0.681127,0.080848
148,1,0.234209,1.015996,0.125999
149,1,0.244461,0.915713,0.036595
150,1,0.236255,0.726849,0.142988
151,1,0.239506,0.468664,0.175102
152,1,0.250278,0.857794,0.122298
153,1,0.244661,0.538081,0.080214
154,1,0.259794,0.467309,0.136350
155,1,0.243110,0.675075,0.035961
156,1,0.232901,0.821511,0.177678
157,1,0.237528,0.814721,0.120913
158,1,0.239127,0.278160,0.173589
159,1,0.230629,0.980998,0.253475
160,1,0.242478,0.638468,0.095494
161,1,0.230064,0.683197,0.136430
162,1,0.247012,0.410440,0.094583
163,1,0.232787,0.965461,0.101104
164,1,0.245272,0.314060,0.098987
165,1,0.219308,0.555406,0.100963
166,1,0.241276,0.980858,0.117037
167,1,0.238986,0.469421,0.169267
