iter,epoch,loss_joints_train,loss_depth_train,loss_uv_train
1,1,0.378683,8.034813,0.168995
2,1,0.414526,5.528469,0.216395
3,1,0.414262,4.145818,0.105414
4,1,0.466305,5.078255,0.067733
5,1,0.369797,6.164525,0.190832
6,1,0.466235,7.031843,0.132843
7,1,0.351635,6.916989,0.147652
8,1,0.437108,5.853660,0.073669
9,1,0.415420,4.922411,0.145361
10,1,0.392131,4.363382,0.074502
11,1,0.373404,5.145101,0.275102
12,1,0.391311,8.377689,0.115074
13,1,0.458590,3.279180,0.106495
14,1,0.408480,5.266042,0.085958
15,1,0.352023,6.652408,0.209755
16,1,0.448293,5.814620,0.121807
17,1,0.461028,5.393527,0.202235
18,1,0.346838,6.630919,0.037401
19,1,0.394297,5.204584,0.118648
20,1,0.366613,5.762720,0.115667
21,1,0.359703,6.408145,0.130786
22,1,0.424393,5.068654,0.203391
23,1,0.409333,4.591844,0.073513
24,1,0.411991,3.404102,0.125568
25,1,0.331911,4.938325,0.322771
26,1,0.361141,4.602511,0.109329
27,1,0.338824,6.585060,0.167424
28,1,0.317248,4.174706,0.306983
29,1,0.343101,4.203265,0.207592
30,1,0.363987,7.488812,0.079004
31,1,0.341945,4.502166,0.180780
32,1,0.367923,3.265426,0.265620
33,1,0.326389,5.157807,0.135257
34,1,0.337023,6.945239,0.152557
35,1,0.406213,3.616502,0.181390
36,1,0.358166,6.054209,0.142265
37,1,0.354389,3.182179,0.045981
38,1,0.399920,7.474804,0.139872
39,1,0.350407,7.810765,0.165756
40,1,0.389607,4.322364,0.131904
41,1,0.368686,5.029813,0.154696
42,1,0.340215,5.728108,0.121225
43,1,0.334655,6.797630,0.060890
44,1,0.343635,3.462506,0.099710
45,1,0.321612,6.272487,0.100956
46,1,0.297404,6.411471,0.072256
47,1,0.255968,7.811199,0.131040
48,1,0.333474,3.561775,0.075969
49,1,0.310188,4.977442,0.038468
50,1,0.323861,3.921621,0.164018
51,1,0.326681,3.741126,0.061691
52,1,0.376869,3.134438,0.165812
53,1,0.313563,7.642719,0.137804
54,1,0.292624,7.344568,0.127125
55,1,0.367210,4.945732,0.120496
56,1,0.302180,4.599528,0.105087
57,1,0.328546,8.479045,0.119193
58,1,0.293826,4.323028,0.119710
59,1,0.294769,6.356257,0.065206
60,1,0.344239,2.791319,0.066557
61,1,0.293477,5.036158,0.161270
62,1,0.293863,4.775908,0.081458
63,1,0.297169,7.468086,0.105769
64,1,0.268352,4.645122,0.079709
65,1,0.270658,5.228606,0.101897
66,1,0.307993,3.689279,0.145389
67,1,0.287819,3.017011,0.192934
68,1,0.274734,3.360175,0.709171
69,1,0.334458,6.891716,0.157592
